srvy,station,bt,date,vessel_name,notes
EBS,H-02,1.37,6/16/2025,Alaska Knight,
EBS,I-02,1.66,6/16/2025,Alaska Knight,
EBS,J-02,2.43,6/16/2025,Alaska Knight,
EBS,K-02,3.02,6/16/2025,Alaska Knight,
EBS,H-03,2.68,6/16/2025,Northwest Explorer,
EBS,I-03,3.06,6/16/2025,Northwest Explorer,
EBS,J-03,3.15,6/16/2025,Northwest Explorer,
EBS,K-03,3.23,6/16/2025,Northwest Explorer,
EBS,F-04,2.82,6/17/2025,Alaska Knight,
EBS,G-02,2.87,6/17/2025,Alaska Knight,
EBS,G-03,2.50,6/17/2025,Alaska Knight,
EBS,G-04,2.84,6/17/2025,Alaska Knight,
EBS,F-05,2.73,6/17/2025,Northwest Explorer,
EBS,G-05,3.19,6/17/2025,Northwest Explorer,
EBS,H-04,3.64,6/17/2025,Northwest Explorer,
EBS,H-05,3.33,6/17/2025,Northwest Explorer,
EBS,B-04,4.45,6/18/2025,Alaska Knight,
EBS,C-04,4.60,6/18/2025,Alaska Knight,
EBS,D-04,4.39,6/18/2025,Alaska Knight,
EBS,E-04,3.89,6/18/2025,Alaska Knight,
EBS,B-05,4.80,6/18/2025,Northwest Explorer,
EBS,C-05,4.96,6/18/2025,Northwest Explorer,
EBS,D-05,3.24,6/18/2025,Northwest Explorer,
EBS,E-05,2.92,6/18/2025,Northwest Explorer,
EBS,A-04,4.56,6/22/2025,Northwest Explorer,
EBS,A-05,4.80,6/22/2025,Northwest Explorer,
EBS,AZ0504,4.44,6/22/2025,Northwest Explorer,
EBS,Z-05,6.38,6/22/2025,Northwest Explorer,
EBS,A-02,4.39,6/23/2025,Alaska Knight,
EBS,B-02,4.51,6/23/2025,Alaska Knight,
EBS,C-02,4.56,6/23/2025,Alaska Knight,
EBS,D-02,4.61,6/23/2025,Alaska Knight,
EBS,A-03,4.44,6/23/2025,Northwest Explorer,
EBS,B-03,4.50,6/23/2025,Northwest Explorer,
EBS,C-03,4.51,6/23/2025,Northwest Explorer,
EBS,D-03,4.56,6/23/2025,Northwest Explorer,
EBS,E-02,4.29,6/24/2025,Alaska Knight,
EBS,E-03,3.59,6/24/2025,Alaska Knight,
EBS,F-02,3.12,6/24/2025,Alaska Knight,
EBS,F-03,2.84,6/24/2025,Alaska Knight,
EBS,B-01,4.42,6/24/2025,Northwest Explorer,
EBS,C-01,4.66,6/24/2025,Northwest Explorer,
EBS,D-01,4.72,6/24/2025,Northwest Explorer,
EBS,E-01,4.49,6/24/2025,Northwest Explorer,
EBS,F-01,3.94,6/25/2025,Alaska Knight,
EBS,G-01,3.05,6/25/2025,Alaska Knight,
EBS,H-01,2.43,6/25/2025,Alaska Knight,
EBS,I-01,1.91,6/25/2025,Alaska Knight,
EBS,C-18,4.46,6/25/2025,Northwest Explorer,
EBS,D-18,4.29,6/25/2025,Northwest Explorer,
EBS,E-18,4.31,6/25/2025,Northwest Explorer,
EBS,F-18,3.92,6/25/2025,Northwest Explorer,
EBS,J-01,2.10,6/26/2025,Alaska Knight,
EBS,K-01,3.07,6/26/2025,Alaska Knight,
EBS,L-01,3.92,6/26/2025,Alaska Knight,
EBS,M-01,2.93,6/26/2025,Alaska Knight,
EBS,G-18,3.07,6/26/2025,Northwest Explorer,
EBS,H-18,3.54,6/26/2025,Northwest Explorer,
